date,co2
1958-03-15,315.71
1958-04-15,317.45
1958-05-15,317.5
1958-06-15,
1958-07-15,315.86
1958-08-15,314.93
1958-09-15,313.2
1958-10-15,
1958-11-15,313.33
1958-12-15,314.67
1959-01-15,315.62
1959-02-15,316.38
1959-03-15,316.71
1959-04-15,317.72
1959-05-15,318.29
1959-06-15,318.15
1959-07-15,316.54
1959-08-15,314.8
1959-09-15,313.84
1959-10-15,313.26
1959-11-15,314.8
1959-12-15,315.58
1960-01-15,316.43
1960-02-15,316.97
1960-03-15,317.58
1960-04-15,319.02
1960-05-15,320.03
1960-06-15,319.59
1960-07-15,318.18
1960-08-15,315.91
1960-09-15,314.16
1960-10-15,313.83
1960-11-15,315.0
1960-12-15,316.19
1961-01-15,316.93
1961-02-15,317.7
1961-03-15,318.54
1961-04-15,319.48
1961-05-15,320.58
1961-06-15,319.77
1961-07-15,318.57
1961-08-15,316.79
1961-09-15,314.8
1961-10-15,315.38
1961-11-15,316.1
1961-12-15,317.01
1962-01-15,317.94
1962-02-15,318.56
1962-03-15,319.68
1962-04-15,320.63
1962-05-15,321.01
1962-06-15,320.55
1962-07-15,319.58
1962-08-15,317.4
1962-09-15,316.26
1962-10-15,315.42
1962-11-15,316.69
1962-12-15,317.69
1963-01-15,318.74
1963-02-15,319.08
1963-03-15,319.86
1963-04-15,321.39
1963-05-15,322.25
1963-06-15,321.47
1963-07-15,319.74
1963-08-15,317.77
1963-09-15,316.21
1963-10-15,315.99
1963-11-15,317.12
1963-12-15,318.31
1964-01-15,319.57
1964-02-15,
1964-03-15,
1964-04-15,
1964-05-15,322.25
1964-06-15,321.89
1964-07-15,320.44
1964-08-15,318.7
1964-09-15,316.7
1964-10-15,316.79
1964-11-15,317.79
1964-12-15,318.71
1965-01-15,319.44
1965-02-15,320.44
1965-03-15,320.89
1965-04-15,322.13
1965-05-15,322.16
1965-06-15,321.87
1965-07-15,321.39
1965-08-15,318.81
1965-09-15,317.81
1965-10-15,317.3
1965-11-15,318.87
1965-12-15,319.42
1966-01-15,320.62
1966-02-15,321.59
1966-03-15,322.39
1966-04-15,323.87
1966-05-15,324.01
1966-06-15,323.75
1966-07-15,322.39
1966-08-15,320.37
1966-09-15,318.64
1966-10-15,318.1
1966-11-15,319.79
1966-12-15,321.08
1967-01-15,322.07
1967-02-15,322.5
1967-03-15,323.04
1967-04-15,324.42
1967-05-15,325.0
1967-06-15,324.09
1967-07-15,322.55
1967-08-15,320.92
1967-09-15,319.31
1967-10-15,319.31
1967-11-15,320.72
1967-12-15,321.96
1968-01-15,322.57
1968-02-15,323.15
1968-03-15,323.89
1968-04-15,325.02
1968-05-15,325.57
1968-06-15,325.36
1968-07-15,324.14
1968-08-15,322.03
1968-09-15,320.41
1968-10-15,320.25
1968-11-15,321.31
1968-12-15,322.84
1969-01-15,324.0
1969-02-15,324.42
1969-03-15,325.64
1969-04-15,326.66
1969-05-15,327.34
1969-06-15,326.76
1969-07-15,325.88
1969-08-15,323.67
1969-09-15,322.38
1969-10-15,321.78
1969-11-15,322.85
1969-12-15,324.11
1970-01-15,325.03
1970-02-15,325.99
1970-03-15,326.87
1970-04-15,328.13
1970-05-15,328.07
1970-06-15,327.66
1970-07-15,326.35
1970-08-15,324.69
1970-09-15,323.1
1970-10-15,323.16
1970-11-15,323.98
1970-12-15,325.13
1971-01-15,326.17
1971-02-15,326.68
1971-03-15,327.18
1971-04-15,327.78
1971-05-15,328.92
1971-06-15,328.57
1971-07-15,327.34
1971-08-15,325.46
1971-09-15,323.36
1971-10-15,323.57
1971-11-15,324.8
1971-12-15,326.01
1972-01-15,326.77
1972-02-15,327.63
1972-03-15,327.75
1972-04-15,329.72
1972-05-15,330.07
1972-06-15,329.09
1972-07-15,328.05
1972-08-15,326.32
1972-09-15,324.93
1972-10-15,325.06
1972-11-15,326.5
1972-12-15,327.55
1973-01-15,328.54
1973-02-15,329.56
1973-03-15,330.3
1973-04-15,331.5
1973-05-15,332.48
1973-06-15,332.07
1973-07-15,330.87
1973-08-15,329.31
1973-09-15,327.51
1973-10-15,327.18
1973-11-15,328.16
1973-12-15,328.64
1974-01-15,329.35
1974-02-15,330.71
1974-03-15,331.48
1974-04-15,332.65
1974-05-15,333.2
1974-06-15,332.16
1974-07-15,331.07
1974-08-15,329.12
1974-09-15,327.32
1974-10-15,327.28
1974-11-15,328.3
1974-12-15,329.58
1975-01-15,330.73
1975-02-15,331.46
1975-03-15,331.9
1975-04-15,333.17
1975-05-15,333.94
1975-06-15,333.45
1975-07-15,331.98
1975-08-15,329.95
1975-09-15,328.5
1975-10-15,328.35
1975-11-15,329.37
1975-12-15,
1976-01-15,331.59
1976-02-15,332.75
1976-03-15,333.52
1976-04-15,334.64
1976-05-15,334.77
1976-06-15,334.0
1976-07-15,333.06
1976-08-15,330.68
1976-09-15,328.95
1976-10-15,328.75
1976-11-15,330.15
1976-12-15,331.62
1977-01-15,332.66
1977-02-15,333.13
1977-03-15,334.95
1977-04-15,336.13
1977-05-15,336.93
1977-06-15,336.16
1977-07-15,334.88
1977-08-15,332.56
1977-09-15,331.29
1977-10-15,331.27
1977-11-15,332.41
1977-12-15,333.6
1978-01-15,334.95
1978-02-15,335.25
1978-03-15,336.66
1978-04-15,337.69
1978-05-15,338.03
1978-06-15,338.01
1978-07-15,336.4
1978-08-15,334.41
1978-09-15,332.37
1978-10-15,332.41
1978-11-15,333.75
1978-12-15,334.9
1979-01-15,336.14
1979-02-15,336.69
1979-03-15,338.27
1979-04-15,338.95
1979-05-15,339.21
1979-06-15,339.26
1979-07-15,337.54
1979-08-15,335.75
1979-09-15,333.98
1979-10-15,334.19
1979-11-15,335.31
1979-12-15,336.81
1980-01-15,337.9
1980-02-15,338.34
1980-03-15,340.01
1980-04-15,340.93
1980-05-15,341.48
1980-06-15,341.33
1980-07-15,339.4
1980-08-15,337.7
1980-09-15,336.19
1980-10-15,336.15
1980-11-15,337.27
1980-12-15,338.32
1981-01-15,339.29
1981-02-15,340.55
